FlujoRx,FlujoCh,Concent,Tempera,Volumen
84.956,107.6,0.9953,345.67,13.532
82.251,106.4,0.99532,346.56,13.551
84.446,107.59,0.99547,347.23,13.572
80.683,106.42,0.99599,347.74,13.57
81.35,106.7,0.99642,348.16,13.59
79.128,102.51,0.99644,348.69,13.628
80.456,103.68,0.99645,348.91,13.674
80.682,103.96,0.99647,348.67,13.762
83.19,103.89,0.99644,348.41,13.811
84.385,105.66,0.99651,348.46,13.772
80.233,107.68,0.99653,348.56,13.75
82.453,102.85,0.99627,348.75,13.766
80.961,104.12,0.99611,348.98,13.787
82.43,106.16,0.99624,349.14,13.769
81.751,103.77,0.99611,349.27,13.752
83.543,107.91,0.99571,349.39,13.759
81.708,103.27,0.99551,349.38,13.765
82.951,102.97,0.99562,349.46,13.814
83.216,105.47,0.99562,349.64,13.836
80.706,102.21,0.99549,349.71,13.756
80.471,105.94,0.9954,349.72,13.691
80.515,104.81,0.99529,349.74,13.724
83.878,103.87,0.99522,349.7,13.773
80.105,105.36,0.99536,349.66,13.832
80.323,103.17,0.99548,349.66,13.884
80.869,105.92,0.99544,349.77,13.884
81.242,106.95,0.99554,350.02,13.893
81.908,107.21,0.99573,350.35,13.959
82.653,107.08,0.99577,350.49,14.009
79.216,104.62,0.99558,350.34,14.019
84.359,103.82,0.99546,350.16,14.021
81.025,105,0.99547,350.06,13.988
80.818,103.14,0.99551,350.04,13.959
82.833,105.88,0.99543,350.1,13.968
79.181,105.53,0.99549,350.03,13.967
82.953,102.42,0.99575,349.75,13.944
84.294,106.25,0.99594,349.48,13.924
82.058,106.91,0.99593,349.32,13.951
79.341,103.59,0.99598,349.41,13.985
80.437,106.75,0.99605,349.85,13.993
80.164,107.11,0.99608,350.13,13.993
84.995,105.37,0.99615,349.84,14.035
81.234,107.97,0.99624,349.7,14.037
82.834,104.7,0.99619,349.95,13.967
83.466,103.49,0.99598,350.21,13.921
83.875,104.76,0.99576,350.12,13.966
83.434,105.29,0.99557,349.88,13.995
82.405,107.33,0.99546,349.61,13.98
80.3,105.67,0.99547,349.59,13.949
80.313,106.59,0.99544,349.66,13.949
83.384,106.06,0.99533,349.56,13.963
81.8,103.52,0.99528,349.46,13.976
80.238,105.36,0.9953,349.52,13.963
83.635,105.41,0.99518,349.72,13.934
82.043,107.61,0.99524,349.85,13.926
